,MAE,RMSE,MSE,MAE_%,RMSE_%,MSE_%,MAPE,SMAPE,R2,Bias_%,Stability,Theil_U
ARIMA,21128.4467,26426.0235,698334718.5192,3.27,4.09,0.1673,3.255,3.265,-0.0043,-0.29,0.0,0.8839
SARIMA,22543.5282,24589.7411,604655365.1138,3.489,3.806,0.1449,3.481,3.411,0.1305,3.489,0.0,0.8197
SARIMAX,22532.572,24590.8111,604707991.4154,3.488,3.806,0.1449,3.479,3.409,0.1304,3.488,0.0,0.8199
AutoARIMA,25560.7951,28102.4593,789748217.0189,3.956,4.35,0.1892,3.941,3.85,-0.1357,3.956,0.0,0.9429
Prophet,13054.6674,15695.9219,246361964.7592,2.021,2.43,0.059,2.033,2.004,0.6457,1.883,40.29,0.53
