Period,ARIMA,SARIMA,SARIMAX,AutoARIMA,HoltWinters,Prophet,Actual_Test
2023-01-01,641200.1171204871,645654.5403255761,641621.0261673816,645017.160111941,629584.1516450297,637517.7025757503,633076
2023-04-01,641269.5348134093,622082.0101322522,618538.1203358676,623117.7805391697,616935.8143313802,613650.0834381835,601892
2023-07-01,641272.167004316,643169.8121505848,642737.0423802926,643267.4957160088,635014.2833273599,634345.7270342876,637895
2023-10-01,641272.2668067467,680189.0538768573,676712.2579795542,681342.3424027502,658888.6565951576,666689.6089628704,649310
2024-01-01,641272.2705908583,691261.1881976898,688302.7567458843,691661.6000803635,662373.180844078,683452.4681678587,669378
2024-04-01,641272.2707343373,666608.0867764292,663096.1027731315,668178.5660577622,649724.8435304285,651259.1246874486,627507
2024-07-01,641272.2707397777,689288.5456096096,690840.0311300828,689785.4086384426,667803.3125264082,681215.4757219428,654197
2024-10-01,641272.2707399839,728974.397559554,725962.0266069283,730613.6392820982,691677.685794206,697639.5983997806,695174
