,Rank,MAE,RMSE,MSE,MAE_%,RMSE_%,MSE_%,MAPE,SMAPE,R2,Adjusted_R2,Direction_Accuracy,Bias_%,Stability,Theil_U,Composite_Score,Train_Time_s,Recommended
HoltWinters,1,9665.0407,11611.4952,134826820.1786,1.496,1.797,0.0323,1.518,1.504,0.8061,0.7738,100.0,0.843,37.92,0.3918,98.82,0.03,True
Prophet,2,13054.9169,15696.1806,246370085.1726,2.021,2.43,0.059,2.033,2.004,0.6457,0.5866,100.0,1.883,40.29,0.53,82.1,0.46,False
ARIMA,3,20951.7513,26796.5989,718057710.8137,3.243,4.148,0.172,3.214,3.238,-0.0326,-0.2047,71.43,-0.742,0.0,0.9041,18.31,0.26,False
SARIMAX,4,22422.5455,25099.2651,629973109.7581,3.471,3.885,0.1509,3.453,3.38,0.094,-0.0569,100.0,3.471,0.0,0.8456,15.58,0.07,False
SARIMA,5,24849.8293,27223.2625,741106019.8331,3.846,4.214,0.1776,3.831,3.746,-0.0658,-0.2434,100.0,3.846,0.0,0.9115,3.85,0.23,False
AutoARIMA,6,25569.3741,28109.8242,790162214.292,3.958,4.351,0.1893,3.942,3.851,-0.1363,-0.3257,100.0,3.958,0.0,0.9431,0.0,1.46,False
