Period,Ensemble_Forecast,CI_Lower,CI_Upper,Actual
2023-01-01,638017.9725992724,627408.4000249413,648627.5451736035,633076
2023-04-01,621052.8804589354,603562.8627110919,638542.8982067789,601892
2023-07-01,638578.3671786701,631129.680259616,646027.0540977243,637895
2023-10-01,665407.7425018866,637686.9311121224,693128.5538916508,649310
2024-01-01,673971.4115042309,637514.2494862746,710428.5735221873,669378
2024-04-01,654616.1658286796,635227.8796618395,674004.4519955197,627507
2024-07-01,674951.3691625254,640217.2745827716,709685.4637422792,654197
2024-10-01,699086.4066804608,637462.6565138528,760710.1568470688,695174
