period,forecast,lower_95,upper_95,mape_score,stability_score,horizon_score,ci_score,drift_penalty,confidence_score,confidence_label
2023-01-01,629584.0,611412.0,647756.0,35.97,11.38,20.0,8.66,15.0,61.0,Medium
2023-04-01,616936.0,598764.0,635108.0,35.97,11.38,16.71,8.63,15.0,57.7,Medium
2023-07-01,635014.0,616842.0,653186.0,35.97,11.38,13.95,8.67,15.0,55.0,Medium
2023-10-01,658889.0,640717.0,677060.0,35.97,11.38,11.65,8.71,15.0,52.7,Medium
2024-01-01,662373.0,644201.0,680545.0,35.97,11.38,9.74,8.72,15.0,50.8,Medium
2024-04-01,649725.0,631553.0,667897.0,35.97,11.38,8.13,8.69,15.0,49.2,Medium
2024-07-01,667803.0,649632.0,685975.0,35.97,11.38,6.79,8.73,15.0,47.9,Medium
2024-10-01,691678.0,673506.0,709849.0,35.97,11.38,5.67,8.77,15.0,46.8,Medium
